Land;Postleitzahl;Zusatzzahl;Ort;Amtliche Gemeindeverzeichnis ID
CH;1356;2;La Russille;0
CH;1357;0;Lignerolle;0
CH;1358;0;Valeyres-Rances;0
CH;1372;0;Bavois;0
CH;1373;0;Chavornay;0
CH;1374;0;Corcelles-Chavorn;0
CH;1375;0;PenthÇrÇaz;0
CH;1376;0;Goumoens-la-Ville;0
CH;1376;2;Eclagnens;0
CH;1376;3;Goumoens-le-Jux;0
CH;1377;0;Oulens-Echallens;0
CH;1400;0;Yverdon-les-Bains;0
CH;1400;1;Yverdon 1;0
CH;1400;2;Yverdon 2;0
CH;1400;3;Yverdon 3;0
CH;1400;5;Cheseaux-NorÇaz;0
CH;1400;47;Yverdon CFF;0
CH;1400;60;Yverdon 1 Dist;0
CH;1400;75;Yverdon Caserne;0
CH;1400;76;Yverdon car postal;0
CH;1401;0;Yverdon-les-Bains;0
CH;1401;48;Yverdon Conseil;0
CH;1404;0;Cuarny;0
CH;1404;2;Villars-Epeney;0
CH;1405;0;Pomy;0
CH;1406;0;Cronay;0
CH;1407;0;Donneloye;0
CH;1407;2;Gossens;0
CH;1407;3;MÇzery-Donneloye;0
CH;1407;4;Bioley-Magnoux;0
CH;1408;0;Prahins;0
CH;1409;0;ChanÇaz;0
CH;1410;0;Thierrens;0
CH;1410;2;Correvon;0
CH;1410;3;Denezy;0
CH;1410;4;PrÇvondavaux;0
CH;1410;5;St-Cierges;0
CH;1412;0;Valeyres-Ursins;0
CH;1412;2;Ursins;0
CH;1413;0;Orzens;0
CH;1415;0;Molondin;0
CH;1415;2;DÇmoret;0
CH;1416;0;Pailly;0
CH;1417;0;Essertines-Yverdon;0
CH;1417;2;Epautheyres;0
CH;1418;0;Vuarrens;0
CH;1420;0;Fiez;0
CH;1421;0;Fontaines-Grandson;0
CH;1421;2;Grandevent;0
CH;1422;0;Grandson;0
CH;1422;1;Grandson 1;0
CH;1422;2;Grandson 2;0
CH;1423;0;Villars-Burquin;0
CH;1423;2;Fontanezier;0
CH;1423;3;Romairon;0
CH;1423;4;Vaugondry;0
CH;1424;0;Champagne;0
CH;1425;0;Onnens VD;0
CH;1426;0;Concise;0
CH;1426;1;Corcelles-Concise;0
CH;1427;0;Bonvillars;0
CH;1428;1;Provence;0
CH;1428;2;Mutrux;0
CH;1429;0;Giez;0
CH;1430;0;Orges;0
CH;1431;0;Vugelles-La Mothe;0
CH;1431;2;Novalles;0
CH;1432;0;Belmont-Yverdon;0
CH;1432;2;Gressy;0
CH;1433;0;Suchy;0
CH;1434;0;Ependes VD;0
CH;1435;0;Essert-Pittet;0
CH;1436;0;Treycovagnes;0
CH;1436;2;Chamblon;0
CH;1437;0;SuscÇvaz;0
CH;1438;0;Mathod;0
CH;1439;0;Rances;0
CH;1440;0;Montagny-Chamard;0
CH;1441;0;Valeyres-Montagny;0
CH;1442;0;Montagny-Yverdon;0
CH;1443;0;Champvent;0
CH;1443;2;Essert-s-Champvent;0
CH;1443;3;Villars-Champvent;0
CH;1445;0;Vuiteboeuf;0
CH;1446;0;Baulmes;0
CH;1450;0;Ste-Croix;0
CH;1450;2;La Sagne VD;0
CH;1450;3;Le ChÉteau-Croix;0
CH;1450;60;Ste-Croix Dist;0
CH;1452;0;Les Rasses;0
CH;1453;0;Bullet;0
CH;1453;2;Mauborget;0
CH;1454;0;L'Auberson;0
CH;1454;2;La Vraconnaz;0
CH;1462;0;Yvonand;0
CH;1463;0;Rovray;0
CH;1464;0;Chavannes-le-Chàne;0
CH;1464;2;Chàne-PÉquier;0
CH;1468;0;Cheyres;0
CH;1470;0;Estavayer-le-Lac;0
CH;1470;2;Lully FR;0
CH;1470;3;Seiry;0
CH;1470;4;Bollion;0
CH;1470;60;Estavayer-le-Lac D;0
CH;1473;0;Font;0
CH;1473;2;ChÉtillon FR;0
CH;1474;0;ChÉbles FR;0
CH;1475;0;Autavaux;0
CH;1475;2;Forel FR;0
CH;1475;3;Montbrelloz;0
CH;1482;0;Cugy FR;0
CH;1483;0;Montet (Broye);0
CH;1483;2;Frasses;0
CH;1483;3;Vesin;0
CH;1484;0;Aumont;0
CH;1484;2;Granges-de-Vesin;0
CH;1485;0;Nuvilly;0
CH;1486;0;Vuissens;0
CH;1489;0;Murist;0
CH;1509;0;Vucherens;0
CH;1510;0;Moudon;0
CH;1510;2;Syens;0
CH;1510;60;Moudon Dist;0
CH;1510;75;Moudon Caserne;0
CH;1512;0;Chavannes-s-Moudon;0
CH;1513;0;Hermenches;0
CH;1513;2;Rossenges;0
CH;1514;0;Bussy-sur-Moudon;0
CH;1515;0;Villars-le-Comte;0
CH;1515;1;Neyruz-sur-Moudon;0
CH;1521;0;Curtilles;0
CH;1522;0;Lucens;0
CH;1522;9;Oulens-sur-Lucens;0
CH;1523;0;Granges-Marnand;0
CH;1524;0;Marnand;0
CH;1525;0;Henniez;0
CH;1525;2;Seigneux;0
CH;1526;0;Forel-sur-Lucens;0
CH;1526;2;Cremin;0
CH;1527;0;Villeneuve FR;0
CH;1528;0;Surpierre;0
CH;1528;2;Praratoud;0
CH;1529;0;Cheiry;0
CH;1530;0;Payerne;0
CH;1530;60;Payerne Dist;0
CH;1530;75;Payerne Caserne;0
CH;1532;0;FÇtigny;0
CH;1532;70;FÇtigny Dist Fil;0
CH;1533;0;MÇniäres;0
CH;1534;0;Sassel;0
CH;1534;2;Chapelle (Broye);0
CH;1535;0;Combremont-Grand;0
CH;1536;0;Combremont-Petit;0
CH;1537;0;Champtauroz;0
CH;1538;0;Treytorrens-Payern;0
CH;1541;0;Bussy FR;0
CH;1541;2;Morens FR;0
CH;1541;3;SÇvaz;0
CH;1542;0;Rueyres-les-PrÇs;0
CH;1543;0;Grandcour;0
CH;1544;0;Gletterens;0
CH;1545;0;Chevroux;0
CH;1551;0;Vers-chez-Perrin;0
CH;1552;0;Trey;0
CH;1553;0;ChÉtonnaye;0
CH;1554;0;SÇdeilles;0
CH;1554;2;Rossens VD;0
CH;1555;0;Villarzel;0
CH;1562;0;Corcelles-Payerne;0
CH;1563;0;Dompierre FR;0
CH;1564;0;Domdidier;0
CH;1565;0;Missy;0
CH;1565;2;Vallon;0
